"rating","fullContent"
4,"Buen Hotel en una ciudad bonita. La ubicación no llega a ser de las mejores pero tiene otras muchas ventajas. La calidad de las habitaciones, los detalles cuidados y la atención del personal son los puntos a destacar. El precio lo encontré muy bueno para un Hotel de esta gama."
4,"Muy buen lugar para una estadía tranquila dado su lejanía del centro d Cochabamba. Hotel limpio y de habitaciones amplias. Personal agradable y atento. Inconvenientes con equipos de aire acondicionado."
5,"Me encanta este Hotel es el mejor de Cochabamba, excelente Ubicación, en la Avenida Oquendo y plaza quintanilla, muy cerca de todos los lugares turísticos y de negocios de la ciudad. Excelente atención"
5,"El hotel es de la mejor calidad tanto en la atención de eventos como en el hospedaje.
Muy recomendable para descansar plácidamente ya sea viaje de negocios o un viaje familiar.
Con unos precios muy accesibles."
5,"Personalmente quedé muy sorprendida con el servicio que brindan pues tuve la oportunidad de trabajar semanas enteras en el Hotel y en ningún momento percibí alguna falencia. El personal se encuentra conformado por personas muy amables, dispuestas a ayudar en todo momento y sobre todo siempre con una sonrisa. Si bien no llegué a conocer todo el Hotel, las instalaciones en las que estuve me parecieron bastante cómodas y acogedoras. En dos ocasiones pude probar la comida que preparan y me encantó el sazón, al igual que los jugos que ofrecen. Sin duda alguna sus servicios son de primera calidad y considero que es un excelente Hotel."
5,"Durante la estadia el personal se porto increiblemente bien y los sevicios fueron a la medida inclusive sobrepasando mi espectativa, altamente recomendable, las habitaciones muy confortables, grandes y con una vista hermosa de la ciudad"
4,"Viaje por negocios. La habitación cómoda. Buen internet. Desayuno completo. El servicio de la habitación no es muy bueno y la ubicación del hotel no es recomendable . Cerca no hay más que dos restaurantes. No tiene gimnasio. La gente del hotel muy amable "
2,"Reservamos una suite matrimonial y nos dieron una habitación pequeña, sin balcón, baño pequeño, ninguna comodidad, ningún tipo de lujo.
El hotel es muy básico, sólo cuenta con habitaciones muy básicas, el restaurante que tiene muy pocas opciones, parqueo y eso es todo.
En teoría el hotel es de 4 estrellas, pero yo no les daría ni una."
3,"Infraestructura buena.
Las habitaciones no tienen aire acondicionado ni calefacción.
El equipo de trabajadores es muy agradable, como toda la gente boliviana.
Escasa formación profesional en hotelería."
4,"Hotel muy acogedor buena atencion muy bien ubicado. La noche que llegue me tratron muy bien al igual que la mañana que me fui. Su restaurant tiene una variedad de platos exquisitos y muy bien servidos. Recomendable"
2,"La verdad que una gran decepción este que se hace llamar ""Gran Hotel"" es una porquería, el 95% de las habitaciones no cuentan con aire acondicionado, en Cochabamba en primavera hacen 30 grados centígrados, los ammenities son escasos y la ropa blanca no es blanca es amarilla y sucia. Debieron cambiarme 4 veces de habitación porque era imposible quedarse en una. El precio? extremadamente caro para le servicio de 2 estrellas que ofrecen."
4,"Cerca del centro pero sin mucho ruido, excelentes habitaciones, amplias y bien equipadas, con todo lo necesario para pasarla bien, buena internet y un desayuno completo. Eficiente atención, ideal para viajes de negocio."
5,"Muy bien hotel, situado muy céntrico. Dispone de buenas habitaciones, amplias, cómodas, los baños grandes, con secador, y las commodities propias de un hotel de nivel. WI-FI gratuito. El desayuno es bueno, así como el servicio de restaurante.
Buen nivel de seguridad en todo el recinto, y además cuenta con una recepción, rápida, ágil, y siempre dispuestos a hacerte la vida fácil. Les recomiendo este hotel, dormirán sin ruidos y muy cómodos."
4,"El hotel tiene una excelente ubicación, cerca de todo el centro comercial y de negocios de Cochabamba, la infraestructura es nueva tiene todas las comodidades, las habitaciones son excelentes, muy pulcras con el menaje de muy buena calidad , a la altura de un 5 estrellas, especialmente la cama y el baño, el personal tiene mucha voluntad de cumplir con lo que se les pide, el servicio de Restaurant aun le falta definir su personalidad... Bastante difícil ya que la oferta culinaria en la ciudad es amplia y variada, pero la relación calidad precio de la habitación compensa ."
3,"Llegamos el 20 con nuestra reserva hecha por booking y la recepcionista dijo que no había a pesar que yo sé la mostraba estiró la jeta y nos trató super mal...Fuera de eso todo bien... pero ya te queda el mal sabor en la boca..."
